date,mvrv_z,mvrv,CapMrktCurUSD,cap_realizado
2024-05-20,2.531527165068401,2.430732575262,1402758099414.36,577092730681.4744
2024-05-21,2.465498449313171,2.392177115696,1383383873548.006,578294919916.7106
2024-05-22,2.391837116393624,2.350508549105,1360911099802.7354,578985811526.1599
2024-05-23,2.3083195707577424,2.30342600975,1335015492496.5051,579578196497.5726
2024-05-24,2.355132420458808,2.329942400919,1351802183524.9346,580186953545.179
2024-05-25,2.392186315844668,2.351755247843,1365112585433.804,580465414794.2766
2024-05-26,2.3382396012028996,2.321857258415,1348641220725.702,580845879236.4965
2024-05-27,2.3873484398900593,2.349289009693,1366456821776.78,581646964736.5122
2024-05-28,2.2941749088261862,2.276025405912,1346682624470.3232,591681718917.6803
2024-05-29,2.2455626107097837,2.249666771523,1331764329620.136,591982931195.8704
2024-05-30,2.289339630283928,2.274593932765,1347381651646.683,592361402287.2222
2024-05-31,2.226687766946603,2.240434640049,1327752245108.245,592631546296.3945
2024-06-01,2.2438236953120625,2.250811711614,1334414955080.0835,592859432974.6083
2024-06-02,2.246191786940765,2.252890611825,1336240533927.6711,593122687321.7881
2024-06-03,2.3016700387529605,2.282844084426,1356529467104.4695,594227821496.428
2024-06-04,2.39835712543669,2.336035028633,1390471342294.432,595227094307.7885
2024-06-05,2.424467057351874,2.350051564625,1401009939445.891,596161361110.1556
2024-06-06,2.3990887114567356,2.333807126267,1395147734909.9626,597799072257.3319
2024-06-07,2.3088512852537635,2.283767499815,1366594140735.1128,598394600521.207
2024-06-08,2.3038765740536253,2.281753656488,1366078592262.9685,598696791118.8063
2024-06-09,2.3203770847107466,2.291783692164,1372693139520.2039,598962783535.6697
2024-06-10,2.306208075592955,2.284430208974,1369213276623.9949,599367523352.3313
2024-06-11,2.1764277494468396,2.210797104332,1327892843551.052,600639851096.729
2024-06-12,2.2224360073136986,2.236528862009,1344590981955.8423,601195452826.8599
2024-06-13,2.1357527540660097,2.189193919128,1316427135683.067,601329614604.1857
2024-06-14,2.086124812132548,2.162288948988,1300658337179.108,601519208516.4406
2024-06-15,2.096442629779431,2.168574282271,1305076332518.8728,601813063628.2173
2024-06-16,2.118548590725069,2.181700780897,1313344170121.058,601981803197.1737
2024-06-17,2.1074931964047985,2.17600767278,1310638614936.662,602313416138.938
2024-06-18,2.0253115152269334,2.131170120016,1283627261670.329,602311026048.3064
2024-06-19,2.009045893751595,2.122527340691,1279053591186.5366,602608770528.3146
2024-06-20,2.008146042874875,2.122824344632,1279454884177.93,602713496956.6823
2024-06-21,1.9578098124570102,2.094841851078,1263481239279.2856,603139200522.0354
2024-06-22,1.9610465042144025,2.094393635978,1266904515441.6245,604902771703.6724
2024-06-23,1.9061786160032794,2.064629768046,1248923864108.922,604914199842.679
2024-06-24,1.7265389134923088,1.965852605759,1188106947758.8867,604372344232.8822
2024-06-25,1.8112460642396901,2.013824808421,1217325575193.919,604484347448.4753
2024-06-26,1.755053468224804,1.983142815892,1198712185856.7195,604450761816.4401
2024-06-27,1.7953817732538422,2.00449611147,1214027045201.079,605651983186.3235
2024-06-28,1.7205523178864757,1.963323618484,1189077674566.551,605645275884.1201
2024-06-29,1.7531150071004817,1.982090071071,1200662758639.697,605755901895.4836
2024-06-30,1.859834116521532,2.04224535277,1237638479045.0432,606018506721.7178
2024-07-01,1.8613281457585054,2.04314593286,1239088312485.8093,606460993587.1448
2024-07-02,1.8133287289531599,2.017079157971,1223207576249.1216,606425172465.4962
2024-07-03,1.7056042783169254,1.956495892684,1187497690834.3545,606951282277.0598
2024-07-04,1.5440634421434725,1.867131113244,1132341877598.4685,606460826219.7021
2024-07-05,1.5006270745114783,1.84216706331,1118612820894.606,607226588279.5049
2024-07-06,1.5882984605590487,1.891715119434,1148978860522.4868,607374148844.4944
2024-07-07,1.4634666395256242,1.82212870475,1106667719773.1875,607348820579.0736
2024-07-08,1.4974510253222315,1.84231499501,1118121839034.7312,606911327358.9037
2024-07-09,1.56970000743569,1.882826099963,1143582599028.2349,607375582402.8081
2024-07-10,1.5531151272988646,1.873671456415,1138490509268.5652,607625475304.4604
2024-07-11,1.5284929776172036,1.860391707754,1130344087896.4204,607583920733.0449
2024-07-12,1.5588140207642562,1.877696697499,1141247236802.8015,607791044380.5365
2024-07-13,1.641632492248117,1.924461076714,1170269292685.8416,608102344519.2593
2024-07-14,1.7367553509969846,1.978252221421,1203557535228.1936,608394380754.7782
2024-07-15,1.9454621055503676,2.094337235781,1276962300259.14,609721432844.0985
2024-07-16,1.9623275878054833,2.10249498714,1284568316160.6465,610973307436.0525
2024-07-17,1.9075365726167222,2.0722141993,1266501997732.3315,611182955005.4042
2024-07-18,1.8919337670086038,2.063284607936,1262245674295.565,611765177445.9987
2024-07-19,2.0443062893718604,2.146794861585,1316950533921.2432,613449639500.6859
2024-07-20,2.066226353915219,2.159544550027,1325462534018.3325,613769479310.7004
2024-07-21,2.1130784875064244,2.186185421436,1342684327868.0134,614167634045.4547
2024-07-22,2.079779499052954,2.167482354881,1332434998137.292,614738567599.7561
2024-07-23,1.9805675377169885,2.109594621683,1300531918961.3372,616484278824.9972
2024-07-24,1.9463913023600492,2.091076478928,1289452069316.2412,616645102324.1793
2024-07-25,1.9642731743093982,2.101052278672,1296759680321.8955,617195342298.4463
2024-07-26,2.084772846117359,2.167988897972,1340008042854.506,618088055758.9518
2024-07-27,2.090840158980491,2.17149524018,1343299057385.0393,618605573030.7244
2024-07-28,2.0936121345059235,2.173689504641,1345171498943.8967,618842523769.7695
2024-07-29,2.016267942366339,2.130351323441,1319487462592.1409,619375521808.708
2024-07-30,1.975003481585225,2.10753663783,1306095087232.0293,619725922571.308
2024-07-31,1.8887570320770832,2.060104597961,1276596836711.3477,619675737811.9861
2024-08-01,1.9130231726734324,2.073446664875,1286244065719.2227,620341042530.1512
2024-08-02,1.705083455616672,1.958129492294,1213817797251.566,619886377294.459
2024-08-03,1.657498309743528,1.931910948089,1197690043760.8433,619950958373.9197
2024-08-04,1.5222467986697892,1.85658107668,1150707429146.879,619799180116.9342
2024-08-05,1.3017424469537793,1.734614783702,1072529021264.8894,618309627787.1604
2024-08-06,1.3985103765575924,1.790105908673,1106180699377.314,617941482689.883
2024-08-07,1.3462216434465866,1.76102665944,1088088938095.4432,617871928436.0247
2024-08-08,1.7249391075101745,1.974027468759,1221911146638.464,618993993739.4264
2024-08-09,1.6556160859117173,1.934847151042,1198490907345.185,619424075281.4739
2024-08-10,1.6607197341929492,1.937094140148,1201488224323.9707,620252882615.2833
2024-08-11,1.5454443037928454,1.872742222889,1161341917394.8513,620129083010.3132
2024-08-12,1.5756299603017199,1.890144044639,1172382636726.98,620261000769.8615
2024-08-13,1.6388782585690311,1.926417221684,1194954421029.1013,620298867544.6526
2024-08-14,1.543523580293375,1.87350048326,1161508436746.0671,619966980059.1537
2024-08-15,1.4757964632658658,1.835793831991,1137919278895.1729,619851346630.2743
2024-08-16,1.546926594260657,1.876508258409,1163274113459.3052,619914198749.9637
2024-08-17,1.5732840639780499,1.891903199321,1172923422382.6035,619970103546.2931
2024-08-18,1.537404412184296,1.871999609436,1160683488749.228,620023360527.7948
2024-08-19,1.5708180210239853,1.891279440638,1172914231316.018,620169714804.4658
2024-08-20,1.5540623776870477,1.882426600371,1167251872460.36,620078292683.6622
2024-08-21,1.664633913085322,1.945233846186,1206957302716.6252,620469001751.6886
2024-08-22,1.6217511281777517,1.921170694846,1192406173923.517,620666439022.015
2024-08-23,1.825436775358757,2.035903975825,1265733883467.168,621706081670.3108
2024-08-24,1.818412806770036,2.032046751517,1264114353900.488,622089207818.0675
2024-08-25,1.8431528877906296,2.046583028581,1273515741882.9749,622264390986.3594
2024-08-26,1.7568546629288024,1.998001382993,1243636765954.651,622440392954.9272
2024-08-27,1.5668522322257972,1.891971799295,1175828958505.758,621483342903.8973
2024-08-28,1.5392205647540924,1.875827072948,1167027678458.6707,622140332277.325
2024-08-29,1.5516113041094746,1.883349152914,1171771866967.5942,622174526244.6836
2024-08-30,1.539664050112728,1.876982694923,1167910930786.7915,622227862806.5365
2024-08-31,1.528211907595391,1.87073697854,1164323996819.61,622387866480.4586
2024-09-01,1.4381591968562515,1.820019010688,1132538921721.956,622267632959.414
2024-09-02,1.5377527808749434,1.877143284457,1168312845795.648,622388741162.9342
2024-09-03,1.45320635744926,1.829729699885,1138297029175.8743,622112123581.651
2024-09-04,1.4740280569981836,1.841861370616,1146137641743.4744,622271393508.9236
2024-09-05,1.3676725789202595,1.781930708989,1108236739981.0042,621930322200.7863
2024-09-06,1.2419770339636196,1.710811543806,1063349406183.8052,621546779967.4756
2024-09-07,1.2542618788515836,1.718206634267,1067869086202.0573,621502131876.9487
2024-09-08,1.2977734737116253,1.743469313486,1083556715258.8136,621494572274.5665
